ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2018,SP,DEPUTADO FEDERAL,MILTON NERY NETO,MILTON NERY,APTO,DEFERIDO,PARTIDO ISOLADO,PROS,PARTIDO ISOLADO,BRASILEIRA NATA,SP,23/11/1972,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,AM,DEPUTADO FEDERAL,RAIMUNDO NONATO DO NASCIMENTO CRUZ,REPORTER RAY NASCIMENTO,APTO,DEFERIDO,COLIGAÇÃO,PODE,RENOVA AMAZONAS,BRASILEIRA NATA,AM,08/05/1970,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,2500000,NÃO ELEITO,N,DEFERIDO
2018,DF,DEPUTADO FEDERAL,LUIZ FERNANDO CASTELO BRANCO REBELLO HORTA,FERNANDO HORTA,APTO,DEFERIDO,PARTIDO ISOLADO,PT,PARTIDO ISOLADO,BRASILEIRA NATA,RS,07/01/1977,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,PA,DEPUTADO FEDERAL,ELIENAI MENDONÇA DE MORAES SOUZA,PR. ELIENAI MORAES,INAPTO,RENÚNCIA,COLIGAÇÃO,PTC,Pará Renova,BRASILEIRA NATA,PA,17/01/1989,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,2500000,#NULO#,N,#NULO#
2018,RJ,DEPUTADO FEDERAL,MARLENE DE OLIVEIRA LOPES,MARLENE LOPES,APTO,DEFERIDO,PARTIDO ISOLADO,PRB,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,07/09/1969,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,2500000,SUPLENTE,N,DEFERIDO
2018,RO,DEPUTADO FEDERAL,MARIA APARECIDA SIMÕES,MARIA SIMÕES,APTO,DEFERIDO,COLIGAÇÃO,PR,JUNTOS POR UM NOVO TEMPO PARA RONDONIA II,BRASILEIRA NATA,RO,18/07/1974,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,2500000,SUPLENTE,N,DEFERIDO
2018,CE,DEPUTADO FEDERAL,REBECA NUNES VELOSO,REBECA VELOSO,APTO,DEFERIDO,COLIGAÇÃO,PSOL,FRENTE DE ESQUERDA SOCIALISTA,BRASILEIRA NATA,CE,03/12/1986,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,MAURICIO DE CAMPOS MENDES PEREIRA,DR MAURICIO MENDES,APTO,DEFERIDO,COLIGAÇÃO,PMB,UNIDOS POR SÃO PAULO,BRASILEIRA NATA,SP,05/10/1965,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,JORGE EDUARDO MONTEIRO DE ANDRADE,PROFESSOR JORGE ANDRADE,APTO,DEFERIDO,PARTIDO ISOLADO,PRB,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,04/05/1958,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,RS,DEPUTADO FEDERAL,GILSOMAR DA SILVA,GILSON PADEIRO,APTO,DEFERIDO,COLIGAÇÃO,PPS,O RIO GRANDE QUE QUEREMOS,BRASILEIRA NATA,RS,15/12/1966,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
